Step #   (i,j)   Piece
----------------------
   0     (-1,-1)     E
   1     (1,3)     2
   2     (3,1)     Q
   3     (2,0)     4
   4     (2,4)     K
   5     (3,2)     Q
   6     (1,0)     Q
   7     (5,4)     Q
   8     (5,5)     4
   9     (1,5)     2
  10     (3,5)     2
  11     (5,3)     R
  12     (5,0)     Q
  13     (0,0)     3
  14     (0,3)     Q
  15     (2,5)     Q
  16     (5,2)     1
  17     (4,3)     1
  18     (3,4)     B
  19     (4,5)     K
  20     (3,3)     1
  21     (4,4)     2
  22     (4,2)     1
  23     (5,1)     1
  24     (4,0)     K
  25     (2,1)     K
  26     (0,2)     1
  27     (1,1)     3
  28     (1,4)     B
  29     (0,5)     2
  30     (2,3)     1
  31     (2,2)     1
  32     (1,2)     B
  33     (3,0)     1
  34     (4,1)     W
  35     (0,4)     R
